fecha,hora,destino,compañia,tipo_vuelo,tipo_avion,registro,id_aeronave,total_ocupantes,pasajeros_a_bordo,tripulacion_a_bordo,fallecidos,pasajeros_fallecidos,tripulacion_fallecida,fallecidos_en_tierra,resumen,pais,anio,mes,categoria,sobrevivientes
1959-12-21,08:16,"Rome, Italy",Alitalia,Training,Vickers 785D Viscount,I-LIZT,378,2.0,0.0,2.0,2.0,0.0,2.0,0.0,Crashed into a hanger during a practice landing. The accident was attributed to a balked landing maneuver carried out below the speed limits for safe directional control of the aircraft during a critical situation that developed in the last phase of the landing in the course of a simulated emergency exercise with two power units inoperative.,Italy,1959,12,collision,0.0
1959-12-22,13:40,"Rio de Janeiro, Brazil",VASP,Rio de Janeiro - Sao Paulo,Vickers Viscount 827 / Fokker T-21,PP-SRG / 0742,401,32.0,26.0,6.0,32.0,26.0,6.0,10.0,"A midair collision took place between a Vickers Viscount and a Brazilian Air Force Fokker T-21 trainer, as the Viscount made an approach to land. The pilot of the trainer parachuted to safety. All 32 aboard the Viscount were killed when it crashed into several houses in the district of Ramos. Failure of both pilots to see and avoid each other. Apparently, the pilot of the trainer aircraft was not supposed to cross the approach path of the Viscount.",Brazil,1959,12,collision,0.0
1959-12-24,05:00,"Palembang, Indonesia",Garuda Indonesia Airlines,Palembang - Jakarta,Douglas C-47A,PK-GDV,13535,2.0,0.0,2.0,1.0,0.0,1.0,0.0,"Shortly after takeoff the cargo plane lost the No. 2 engine, tried to return to the airport but crashed. Failure of the right engine, a lack of precaution on the part of the captain and marginal weather. A contributing factor may have been the overloaded condition of the aircraft, however, not to such an extent that it forced the aircraft to descend to a dangerously low altitude.",Indonesia,1959,12,collision,1.0
1960-01-03,10:40,"Taksing, India",Indian Airlines,sin dato,Douglas C-47A,VT-CGG,12821,9.0,5.0,4.0,9.0,5.0,4.0,0.0,"The cargo plane crashed while dropping supplies and making a narrow turn in a valley. The accident was attributed to an error in navigation which caused the pilot to enter the wrong valley. During an attempt to turn back in a restricted area, the aircraft stalled and crashed.",India,1960,1,collision,0.0
1960-01-06,02:38,"Wilmington/Bolivia, North Carolina",National Airlines,New York - Miami,Douglas DC-6B,N8225H,43742/300,34.0,29.0,5.0,34.0,29.0,5.0,0.0,"The plane disintegrated in flight at 18,000 feet and crashed 1.5 miles northwest of Bolivia, North Carolina. Detonation of a dynamite bomb by means of dry cell batteries, in the vicinity of row 7, in the passenger cabin.  The plane continued to fly for a short time after which the fuselage came apart and the plane crashed in a ball of flames. Julian Frank, who had purchased 1 million dollars in insurance, was suspected of committing suicide by detonating the bomb in his lap or under his seat. There is a possibility Frank may have been an unwitting bomb carrier and that this bombing has something to do with the National Airlines crash of November, 16, 1959. No one was charged in either case.",sin dato,1960,1,collision,0.0
1960-01-10,15:38,Gulf of Sirte,Military - U.S. Army,Misurata - Benghazi,de Havilland Canada U-1A Otter,55-2974,47,10.0,9.0,1.0,10.0,9.0,1.0,0.0,"Missing, never found.",sin dato,1960,1,other cause,0.0
1960-01-19,18:47,"Ankara, Turkey",Scandinavian Airlines (SAS),Istanbul - Ankara,Sud Aviation Caravelle 1,OY-KRB,014/14,42.0,35.0,7.0,42.0,35.0,7.0,0.0,"While on a flight from Istanbul to Ankara, Turkey the aircraft crashed while on approach to Esenboga Airport, 6 nm short of the runway. The aircraft struck the ground at an elevation of 3,500 ft, between the Ankara mountain range and the airport. An unintentional descent below the authorized minimum flight altitude during final approach to Esenboga Airport for reasons that could not be determined. The aircraft was named ""Orm Viking.""",Turkey,1960,1,collision,0.0
1960-01-26,12:30,"Off Bathurst Island, Australia",Transportes Aéreos de Timor,Darwin - Baucau,de Havilland DH-114 Heron 2D,CR-TAI,14132,9.0,7.0,2.0,9.0,7.0,2.0,0.0,Radio contact was lost with the aircraft before it crashed into the ocean. Poor weather.  Unqualified pilot.,Australia,1960,1,collision,0.0
1960-02-26,16:57,"Lvov-Snilow,  Ukraine",Aeroflot,Moscow - Kiev - Lviv,Antonov 10A,CCCP-11180,9401801,33.0,25.0,8.0,32.0,24.0,8.0,0.0,The plane crashed into a swamp short of the runway threshold. Icing of the horizontal stabilizer.,Ukraine,1960,2,collision,1.0
1960-03-16,19:40,"Nagoya, Japan",All Nippon Airways,Tokyo - Nagoya,Douglas DC-3,JA-5018,6006,40.0,35.0,5.0,5.0,3.0,2.0,0.0,Mid-air collision with a Japan Air Self Defence Force F-86 fighter which was taking off from Nagoya. Both planes crashed but the F-86 pilot ejected safely.,Japan,1960,3,collision,35.0
1960-03-19,11:10,"Cordoba, Colombia",SAMSA,San Andres - Medellin,Curtiss C-46,HK-516,2927/384,46.0,42.0,4.0,25.0,22.0,3.0,0.0,"Forced landing after engine failure. The accident was attributed to an error in judgment by the pilot in deciding to land at an airport which was closed and where no radio aid was available. Contributing factors were intermittent overspeeding of propellers, adverse weather and no communication tower.",Colombia,1960,3,engine failure,21.0
1960-04-05,14:39,"Siuna, Nicaragua",Lanica,Siuna - Bonanza,Curtiss C-46A-40-CU,AN-AIN,26945,18.0,14.0,4.0,2.0,1.0,1.0,0.0,Flew into a hill shortly after taking off. Engine failure due to a  fatigue crack at a valve.,Nicaragua,1960,4,engine failure,16.0
1960-04-12,14:20,"Pelotas, Brazil",Cruzeiro,Jaguarão - Rio Grande - Pelotas - Porto Alegre,Douglas DC-3,PP-CDS,4823,22.0,19.0,3.0,10.0,8.0,2.0,0.0,"While taking off, the plane drifted to the right, overcorrected to the left and struck two other aircraft. Pilot error.  Incorrect use of the brakes and controls while on the ground.",Brazil,1960,4,pilot error,12.0
1960-04-19,20:48,"Bogota, Colombia",Lloyd Aereo Colombiano,Miami - Medellin - Bogota,Curtiss C-46,HK-390,32954,51.0,44.0,7.0,37.0,31.0,6.0,0.0,Crashed during final approach. The pilot failed to take proper action to counteract the loss of speed and height in the final approach turn. Lack of pilot experience.,Colombia,1960,4,collision,14.0
1960-04-20,13:06,"Hickory, North Carolina",Piedmont Airlines / Private,"Cincinnati, OH - Hickory, NC",Fairchild F-27 / Cessna 310,N2704R/N1807H,17,44.0,39.0,5.0,4.0,3.0,1.0,0.0,"The aircraft were involved in a midair collision while both were making an approach to land. The pilot of the Cessna, the over-taking aircraft, failed to see and avoid the F-27 during the landing appoach. Four died aboard the Cessna, none aboard the Fairchild.",sin dato,1960,4,collision,40.0
1960-04-22,07:55,"Bunia, Belgian Congo",Sobelair SA (Belgium),Brussels - Rome - Cairo - Bunia,Douglas C-54B,OO-SBL,3099,35.0,28.0,7.0,35.0,28.0,7.0,0.0,Crashed into the slope of Bogoro Peak located about 8 km short of runway.while on approach. Crew error. The decision by the pilot in descending below the minimum ceiling prescribed.,sin dato,1960,4,collision,0.0
1960-04-28,08:22,"Near Calabozo, Venezuela",Linea Aeropostal Venezolana,Maiquetia - Calabozo,Douglas DC-3,YV-C-AFE,15353/26798,13.0,9.0,4.0,13.0,9.0,4.0,0.0,The aircraft crashed after an explosion aboard. Detonation of a hand-grenade brought aboard by a Russian immigrant. The explosion occurred after the captain tried to disarm the man.,Venezuela,1960,4,collision,0.0
1960-05-15,22:57,"Jebel Marra, Sudan",Balair,Niamey - Khartoum,Douglas DC-4-1009,HB-ILA,43072,12.0,5.0,7.0,12.0,5.0,7.0,0.0,"Crashed into 8,000 ft. Mt. Marra. Navigation error by the crew who were using an astrofix to estimate their position.",Sudan,1960,5,collision,0.0
1960-05-18,15:30,"El Sosneado, Argentina",Transamerican Air Transport,Buenos Aires - Santiago de Chile - Lima,Curtiss C-46,LV-GGJ,22554,9.0,5.0,4.0,9.0,5.0,4.0,0.0,Crashed due to structural failure after flying into extremely violent turbulence. Insufficient preparation for the flight by the crew. Inadequate arrangements for the secure carriage of the livestock. The pilots failure to familiarize himself with the prevailing weather conditions. Not found until 11/21/61.,Argentina,1960,5,collision,0.0
1960-05-23,11:52,"Atlanta, Georgia",Delta Air Lines,Training,Convair CV-880,N8804E,22-00-16,4.0,0.0,4.0,4.0,0.0,4.0,0.0,"The aircraft stalled for reasons undetermined, at an altitude too low to effect recovery.",Georgia,1960,5,other cause,0.0
1960-06-10,10:55,"Nea Tkvarcheli, Georgia",Aeroflot,Kutaisi - Rostov-on-Don,Ilyushin IL-14P,CCCP-91571,7343107,31.0,24.0,7.0,31.0,24.0,7.0,0.0,The plane crashed in hillside woods while en route. Poor organization and overseeing the preparation of the flight by the crew.,Georgia,1960,6,collision,0.0
1960-06-10,22:05,"Off  Mackay, Qld. Australia",Trans Australia Airlines,Rockhampton - MacKay,Fokker F-27 Friendship 100,VH-TFB,10112,29.0,25.0,4.0,29.0,25.0,4.0,0.0,"The flight crashed into the sea, 7.5 miles from the airport after being in a holding pattern waiting for fog to lift.  Cause could not be determined.",sin dato,1960,6,collision,0.0
1960-06-14,04:47,"Mt. Gilbert, Alaska",Pacific Northern Airlines,Cordova - Anchorage,Lockheed 749A-79-32 Constellation,N1554V,2555,14.0,9.0,5.0,14.0,9.0,5.0,0.0,"The aircraft failed to maintain its intended flight path and  crashed into the face of Mt. Gilbert at 9,646 ft. after taking off from Cordova. The crew's failure to use all available  navigational aids in establishing the aircraft's position on Amber I Airway thereby allowing the aircraft  to proceed off course over dangerous terrain. A contributing factor to the  accident was the failure of air defense radar, which had been tracking the aircraft, to notify either  ARTCC or the crew that the aircraft was proceeding on a dangerous course.",Alaska,1960,6,collision,0.0
1960-07-10,10:30,Persian Gulf,Gulf Aviation (Kalinga Airways),Bahraïn - Doha - Sharjah,Douglas DC-3,VT-DGS,4273,20.0,16.0,4.0,20.0,16.0,4.0,0.0,Crashed into the Persian Gulf while en route. Cause undetermined. Wreckage never found.,sin dato,1960,7,collision,0.0
1960-07-11,11:45,"Near Quito, Ecuador",Military - U.S. Misson,Bogota - Quito,Douglas C-47B-DK,45-1109A,34379,18.0,14.0,4.0,18.0,14.0,4.0,0.0,Crashed and burned on Mt. Pichincha as it prepared to land at Quito.,Ecuador,1960,7,collision,0.0
1960-07-14,04:30,"Off Manila, Philippines",Northwest Orient Airlines,Okinawa - Manila,Douglas DC-7C,N292,45462/925,58.0,51.0,7.0,1.0,1.0,0.0,0.0,"After a loss of power in the No. 2 engine the crew was unable to feather the prop. An emergency descent was made and the plane ditched into the ocean. Upon contact with the water, the aft end of the fuselage broke free at the rear of the pressure bulkhead, the right wing  tore free and the engines separated. The wing floated for 3hrs, serving as a life raft for  passengers. The remainder of the fuselage, sank some 10 minutes after impact.  Passengers were rescued 6 hours after the accident. Failure of No. 2  engine, resulting in oil contamination, loss of oil supply, subsequent loss of the No. 2 propeller assembly and fire-in-flight, which necessitated a ditching.",Philippines,1960,7,fire,57.0
1960-07-15,09:40,"Near Jima, Ethiopia",Ethiopian Airlines,Bulchi - Jimma,Douglas DC-3,ET-T-18,12926,11.0,8.0,3.0,1.0,0.0,1.0,0.0,"Crashed onto a mountainside at 9,000 ft. The pilot misjudged the weather conditions and continued to fly into deteriorating weather conditions while trying to maintain VFR. The pilot attempted to climb at a speed below the minimum safe climbing speed of the aircraft.",Ethiopia,1960,7,collision,10.0
1960-07-16,15:38,"Copenhagen, Denmark",Flyve Tjenesten,Copenhagen - Herning,de Havilland DH-89 Dragon Rapide,OY-DZY,6956,9.0,8.0,1.0,8.0,8.0,0.0,0.0,"The twin engine aircraft was chartered by the Danish Football Association. In the initial climb the pilot lost control of the plane and crashed into the ocean 50 meters off shore. Eight members of the Daniish Soccer Association were killed, while the pilot survived, but lost a leg. The pilot suffered spatial disorientation in heavy rain and strong crosswinds. The plane was not equipped with wipers which was considered as a contributing factor to the accident.",Denmark,1960,7,collision,1.0
1960-07-19,13:45,"Near Goma, Zaire",Military - Royal Belgian Air Force,sin dato,Fairchild C-119G,CP-36,sin dato,41.0,37.0,4.0,37.0,33.0,4.0,0.0,Crashed into mountainous terrain north of Lake Kivu after experiencing engine failure.,Zaire,1960,7,collision,4.0
1960-07-20,12:30,"Near Syktyvkar, Russia",Aeroflot,Leningrad - Syktyvkar,Ilushin IL-14,CCCP-61696,147001035,23.0,19.0,4.0,23.0,19.0,4.0,0.0,Broke up in mid air after flying through a thunderstorm and experiencing heavy g loads.,Russia,1960,7,other cause,0.0
1960-07-27,22:38,"Forest Park, Illinois",Chicago Helicopter Airways,sin dato,Sikorsky S-58C helicopter,N879,58420,13.0,11.0,2.0,13.0,11.0,2.0,0.0,"The helicopter crashed into Forest Home Cemetery. The structural disintegration in flight, initiated by a fatigue fracture of a main rotor blade.",Illinois,1960,7,collision,0.0
1960-07-31,11:56,"Near Rimini, Italy",Deutsche Flugdienst,Frankfort - Rimini,Convair CV-240-4,D-BELU,78,34.0,30.0,4.0,1.0,1.0,0.0,0.0,"While descending through 5,000ft, the crew lost the No.1 engine. At 1,500 ft. the other engine was also lost. The aircraft crashed 3,300 ft. short of the runway. Failure of both engines on the aircraft.",Italy,1960,7,collision,33.0
1960-08-17,15:58,"Near Kiev, Ukraine",Aeroflot,Cairo - Moscow,Ilyushin IL-18B,CCCP-75705,189001702,34.0,27.0,7.0,34.0,27.0,7.0,0.0,While en route the No. 4.engine caught fire.  The fire extinguishing system was ineffective and the fire spread to the wing after which the fuel tanks exploded and the plane crashed.,Ukraine,1960,8,collision,0.0
1960-08-17,23:45,"Near El Kelaa, Morocco",Military - French Naval Aviation,sin dato,Avro Lancaster 1,WU-26,sin dato,20.0,15.0,5.0,20.0,15.0,5.0,0.0,"Cashed while en route to Casablanca after experiencing an engine fire. Shortly after, the plane crashed in flames on a hilly terrain near El Kelâa des Sraghna.",Morocco,1960,8,collision,0.0
1960-09-02,17:10,"Near Zikhnovo, Russia",Aeroflot,Arkhangelsk - 	Cherepovets,Ilyushin IL-14P,CCCP-04200,1470 014 18,18.0,13.0,5.0,18.0,13.0,5.0,0.0,The plane flew into the side of Mt. Belaya in poor weather. Crew flew below minimums.,Russia,1960,9,other cause,0.0
1960-09-07,09:40,"Near Salto, Uruguay",Aerolineas Argentinas,Asuncion - Buenos Aires,Douglas DC-6,LV-ADS,43031/127,31.0,25.0,6.0,31.0,25.0,6.0,0.0,"Crashed in a storm. Separation of propeller followed by disintegration of the aircraft. Overspeeding of No.3 propeller caused by irregular operation of the propeller governor, detachment of that propeller and impact with that of No.4 engine, followed by disintegration of the aircraft.",Uruguay,1960,9,collision,0.0
1960-09-22,14:10,"Off Naha, Okinawa",Military - U.S. Navy,"Atsugi, Japan - Subi Point, Philippines",Douglas R5D-3,56541,sin dato,29.0,26.0,3.0,29.0,26.0,3.0,0.0,The plane crashed after transmitting a message that the No. 3 engine was on fire and they were diverting to Okinawa. The fire in the No. 3 engine was extinguished but a residual fire continued in a tire until it ignited the fuel tank resulting in an explosion.,Okinawa,1960,9,collision,0.0
1960-09-26,23:40,"Moscow, Russia",Austrian Airlines,Warsaw - Moscow,Vickers Viscount 837,OE-LAF,437,37.0,31.0,6.0,31.0,26.0,5.0,0.0,"Crashed on approach to Moscow, 11 nm short of the runway. Malfunctioning or misread altimeter.",Russia,1960,9,collision,6.0
1960-09-29,12:15,"Off Elba, Italy",United Arab Airlines,Geneva - Rome,Vickers Viscount 739B,SU-AKW,427,21.0,17.0,4.0,21.0,17.0,4.0,0.0,Crashed  into the Tyrrhenian Sea off Elba after penetrating severe thunderstorm.,Italy,1960,9,collision,0.0
1960-10-14,15:50,"Elba, Italy",Itavia,Rome - Genoa,de Havilland DH-114 Heron 2,I-AOMA,14090,11.0,7.0,4.0,11.0,7.0,4.0,0.0,Hit Mt. Capanne while en route.  Cause unknown.,Italy,1960,10,other cause,0.0
1960-10-21,21:14,"Ust-Orda, Russia",Aeroflot,Moscow - Omsk - Irkutsk - Khabarovsk,Tupolev Tu-104A,CCCP-42452,96601701,3.0,0.0,3.0,3.0,0.0,3.0,0.0,Crashed after a premature descent. The decision by the captain to perform a go-around was ccrrect but the very low pass above the runway was unacceptable.,Russia,1960,10,collision,0.0
1960-10-28,11:39,"Near Missoula, Montana",Northwest Orient Airlines,Spokane - Missoula,Douglas C-54A-DC,N48762,10320,12.0,8.0,4.0,12.0,8.0,4.0,0.0,"Crashed into mountains in snow showers while descending to Missoula. The aircraft entered a steep left banking turn and the nose was raised in an apparent attempt to turn and climb out through an intersecting valley, however, the aircraft continued to sink toward the ground, rolled to the left and crashed inverted. The failure of the pilot to continue in accordance with his IFR flight plan by attempting a VFR approach during instrument weather conditions.",Montana,1960,10,collision,0.0
1960-10-29,22:02,"Toledo, Ohio",Arctic Pacific,"Toledo - Kansas City, MO",Curtiss C-46F-1-CU,N1244N,22458,48.0,45.0,3.0,22.0,20.0,2.0,0.0,"Crashed after taking off from Toledo Express Airfield, landing 5,800 ft. beyond the runway threshold. Sixteen members of the California State  Polytechnic College,  San Luis Obispo football team killed. Premature lift-off, partial loss of power in the No.1 engine, overweight aircraft and weather conditions were the cause of the crash.",Ohio,1960,10,collision,26.0
1960-11-23,18:45,"Manila, Philippines",Philippine Air Lines,Iloilo - Manila,Douglas DC-3,PI-C133,13397,33.0,29.0,4.0,33.0,29.0,4.0,0.0,Crashed into Mt. Baco while en route. Navigational error under adverse weather conditions.,Philippines,1960,11,collision,0.0
1960-12-04,22:53,"Chernovo, Russia",Aeroflot,Syktyvkar - Moscow,Ilyushin 14M,CCCP-52091,7342905,14.0,9.0,5.0,14.0,9.0,5.0,0.0,The right engine caught fire. The crew initiated an emergency  descent from which the right wing broke off  causing the aircraft to crash.,Russia,1960,12,collision,0.0
1960-12-11,19:50,"San Andres de Giles, Argentina",Military - Argentine Air Force,Lima - Antofagasta - El Palomar,Avro 691 Lancastrian IV,T-102,sin dato,31.0,23.0,8.0,31.0,23.0,8.0,0.0,"The domestic flight cashed and burned in heavy rain, 100 miles from it's destination. Pilot error. Flying VFR in adverse weather conditions.",Argentina,1960,12,pilot error,0.0
1960-12-17,14:10,"Munich, West Germany",Military - U.S. Air Force,"Munich - Northolt AB, England",Convair C-131D (CV-340-79),55-291,212,20.0,13.0,7.0,20.0,13.0,7.0,31.0,"The aircraft lost an engine on takeoff from Munich. Unable to maintain altitude, the aircraft crashed into St. Paul's Cathedral church and into a crowded streetcar in the business section of the city, breeching a gas main and starting a fierce fire, Thirty-one people were killed on the ground. A collection of water was found in the fuel tank booster pump. Fuel contamination causing engine failure.",sin dato,1960,12,collision,0.0
1960-12-22,12:31,"Cebu City, Philippines",Philippine Air Lines,Cebu - Davao,Douglas DC-3,PI-C126,20593,37.0,34.0,3.0,28.0,26.0,2.0,0.0,Crashed on takeoff. Failure of the No. 1 engine shortly after take-off but after V2. Inappropriate emergency procedures by crew.,Philippines,1960,12,collision,9.0
1960-12-26,19:42,"Near Ulyanovsk, Russia",Aeroflot,Kuibyshev - Ulyanovsk,Ilyushin IL-18A,CCCP-75651,188000405,17.0,13.0,4.0,17.0,13.0,4.0,0.0,Loss of control resulted after 40 degrees flaps was selected causing the plane to crash. Icing.,Russia,1960,12,collision,0.0
1961-01-03,07:40,"Koivulahti, Finland",Finnair,Kokkola - Vaasa,Douglas DC-3,OH-LCC,14066/25511,25.0,22.0,3.0,25.0,22.0,3.0,0.0,"Crashed into woods while attempting to land. Both pilots tested positive for alcohol.  In addition, the pilot did not have enough sleep the night before and was not considered to be in satisfactory mental and physical condition to undertake the flight.",Finland,1961,1,collision,0.0
1961-01-24,10:48,"Mt. Burangrang, Indonesia",Garuda Indonesia Airlines,Jakarta - Bandung,Douglas DC-3,PK-GDI,19672,21.0,16.0,5.0,21.0,16.0,5.0,0.0,The aircraft struck Mt. Burangrang . Attempt by the pilot to fly over mountainous terrain when unsure of his position and in weather conditions which severely restricted visibility.,Indonesia,1961,1,other cause,0.0
1961-01-28,12:20,"Off Montauk Point, New York",American Airlines,Training,Boeing 707-123,N7502A,17629/8,6.0,0.0,6.0,6.0,0.0,6.0,0.0,"The aircraaft banked left, entered a dive and eventually crashed into the ocean five miles off shore.",sin dato,1961,1,collision,0.0
1961-02-03,23:55,"Off Surabaya, Indonesia",Garuda Indonesia Airlines,Surabaya - Balikpapan,Douglas DC-3,PK-GDY,13052,26.0,21.0,5.0,26.0,21.0,5.0,0.0,Disappeared while en route. The wreckage was never found. It is believed the aircraft crashed into the sea off the island of Madura.,Indonesia,1961,2,collision,0.0
1961-03-09,15:00,"Near Caracas, Venezuela",Linea Aeropostal Venezolana,San Antonio-Maiquetia,Douglas DC-3,YV-C-AZQ,19986,12.0,8.0,4.0,12.0,8.0,4.0,0.0,Crashed into the slope of a mountain while en route. Navigation error. Failure of the crew to follow the prescribed route. Flying VFR in IFR conditions.,Venezuela,1961,3,collision,0.0
1961-04-03,23:57,"Llico, Chile",LAN,Temuco - Santiago,Douglas DC-3,CC-CLD-P210,9716,24.0,20.0,4.0,24.0,20.0,4.0,0.0,The plane crashed into La Gotera Hill while on approach to Santiago. The official cause is unknown.  Icing suspected. All members of the Green Cross Chilean soccer team killed. Wreckage found 54 years after the accident.,Chile,1961,4,collision,0.0
1961-04-18,18:10,"Mount Parker, Hong Kong",Military - US Air Force,Hong Kong - Tainan AFB,C-47(DC-3),43-49014,26275/14830,15.0,12.0,3.0,14.0,11.0,3.0,0.0,The aircraft impacted Mount Parker shortly after taking off in foggy weather conditions.,sin dato,1961,4,other cause,1.0
1961-05-24,02:22,"Near Tacoma, Washington",Military - U.S. Air Force,McChord - Lawton,Douglas C-124A-DL,51-0174,43508,22.0,16.0,6.0,22.0,16.0,6.0,0.0,"After a night takeoff, while climbing to a height of 500 feet, the airplane went out of control and crashed in a wooded area.",Washington,1961,5,collision,0.0
1961-05-29,14:36,Singapore,Military - Royal Air Force,Traing,Handley Page Hastings C-2,WD497,125,13.0,8.0,5.0,13.0,8.0,5.0,0.0,"Lost an engine, stalled and crashed.",sin dato,1961,5,collision,0.0
1961-06-12,04:11,"Cairo, Egypt",KLM Royal Dutch Airlines,Rome - Cairo,Lockheed L-188C Electra,PH-LLM,2019,36.0,29.0,7.0,20.0,17.0,3.0,0.0,"Crashed into a hill  at night during the approach, 4 km short of the runway. Crew's neglect to cockpit duties. Pilot's inattention to his instruments.",Egypt,1961,6,collision,16.0
1961-06-13,19:33,"Douala, Cameroon",Air Cameroon,Training,Douglas DC-4,TJ-ABC,7473,5.0,3.0,2.0,5.0,3.0,2.0,0.0,"After liftoff, the airplane encountered difficulties in gaining height when the propeller on the No 2 engine struck a tree located 1,200 meters past the runway end. The airplane continued at low height and struck a second tree, causing a fuel tank to be ruptured and to catch fire. The accident was caused by flight at too low an altitude during a night training exercise.",Cameroon,1961,6,fire,0.0
1961-06-17,22:23,"Near Kano, Nigeria",Continentale Deutsche Luftreederei,Tripoli - Kano,Douglas C-54B-1-DC,D-ABEB,10530,7.0,5.0,2.0,1.0,1.0,0.0,0.0,"Error in judgement on the part of the captain, who, after sighting the runway lights, concentrated on keeping them in sight and failed to make adequate reference to his flight instruments. As a result, he allowed the aircraft to descend below the obstacle clearance limit of 360ft.  In the darkness, with no ground reference, the runway lights gave him insufficient guidance as to his height and angle of approach and he was unaware that the aircraft had descended to ground level. The fatigue of the captain and the failure to illuminate the aircraft's landing lights were conributing factors.",Nigeria,1961,6,other cause,6.0
1961-06-30,20:57,"Buenos Aires, Argentina",Transcontinental,Salta - Cordoba - Buenos Aires,Curtiss C-46A,LV-FTO,193,35.0,30.0,5.0,24.0,22.0,2.0,0.0,Crashed into a trees and telegraph poles on final approach.The pilot failed to follow the instrument approach procedures during the approach.,Argentina,1961,6,collision,11.0
1961-07-08,19:00,"Sverdlovsk, Russia",Aeroflot,Kazan - 	Sverdlovsk,Ilyushin IL-14P,CCCP-41848,6341706,26.0,21.0,5.0,9.0,4.0,5.0,0.0,The plane ran out of fuel and crash landed. Crew did not refuel at Kazan.,Russia,1961,7,collision,17.0
1961-07-21,02:11,"Shemya, Alaska",Alaska Airlines,Seattle - Shemya AFB,Douglas DC-6A,N6118C,45243/919,6.0,0.0,6.0,6.0,0.0,6.0,0.0,"Undershot the runway by 200 feet, crashed and burned. Absence of approach and runway lights. Lack of guidance from air traffic controller during last stages of flight.",Alaska,1961,7,collision,0.0
1961-08-09,17:30,"Sola, Norway",Cunard Eagle Airways,London - Sola,Vickers Viking 3B,G-AHPM,152,39.0,36.0,3.0,39.0,36.0,3.0,0.0,Crashed into a mountain18 nm northeast of Stravanger Airport.  Deviation from prescribed course. Cause unknown.,Norway,1961,8,collision,0.0
1961-08-29,18:22,"Sondreströmfjord, Greenland",Eastern Provincial Airways,sin dato,de Havilland Canada DHC-3 Otter,CF-MEX,sin dato,6.0,4.0,2.0,1.0,0.0,1.0,0.0,"An in-flight fire, initiated and sustained by a severe fuel leak. The fuel leak was caused by the locking of a carburetor drain plug to unscrew.",Greenland,1961,8,fire,5.0
1961-09-17,08:57,"Chicago, Illinois",Northwest Orient Airlines,Chicago - Tampa,Lockheed 188C  Electra,N137US,1142,37.0,32.0,5.0,37.0,32.0,5.0,0.0,"Takeoff and Initial climb appeared to be normal, but at approximately 200 feet a shallow turn to the right continued into a gradually increasing bank of about 85 to 90 degrees. While in the turn, the crew made a short, garbled transmission indicating alarm. During the latter part of the turn a gradual descent began and, two minutes after taking off, the aircraft struck the ground. Mechanical failure in the aileron primary control system due to an improper replacement of the aileron boost assembly, resulting in a loss of lateral control of the aircraft at an altitude too low to effect recovery.",Illinois,1961,9,other cause,0.0
1961-09-17,22:13,"Ndola, Zambia",Transair Sweden,Leopoldville - Ndola,Douglas DC-6B,SE-BDY,43559,16.0,11.0,5.0,16.0,11.0,5.0,0.0,"The aircraft crashed into the jungle approximately 9 miles from the destination airport. UN Secretary General, Dag Hammarskjöld, 56, killed. The aircraft was allowed to descend too low, resulting in striking trees and crashing. Although the United Nations released a statement that no evidence of sabotage was found, rumors persist about this accident alleging that the victims were shot prior to the crash or that a bomb onboard exploded. A recent report in 2011 sites pilot fatigue as the cause of the accident.",Zambia,1961,9,collision,0.0
1961-09-23,18:02,"Ankara, Turkey",Turkish Airlines (THY),Adana - Ankara,Fokker F-27 Friendship 100,TC-TAY,10182,29.0,25.0,4.0,28.0,24.0,4.0,0.0,"Crashed into high terrain on approach, 18 kms from Ankara Airport. The aircraft was not in a normal flying  pattern and below normal altitude.",Turkey,1961,9,collision,1.0
1961-10-07,02:00,"Mt. Canigou, France",Derby Aviation,London - Perpignan,Douglas DC-3,G-AMSW,16171/32919,34.0,31.0,3.0,34.0,31.0,3.0,0.0,Crashed into Mt. Canigou while descending to land. Navigational error.,France,1961,10,collision,0.0
1961-11-01,14:26,"Les Prevosts, Guernsey",Silver City Airways,Cherboug - Les Prevosts,Bristol 170 Freighter 31M,G-ANWL,13260,10.0,7.0,3.0,2.0,0.0,2.0,0.0,Failed to gain altitude after a missed approach and crashed. The malfunctioning of the automatic pitch coarsening unit of the starboard propeller. This deprived the captain of the necessary degree of control of the aircraft at a critical stage of the flight.,Guernsey,1961,11,collision,8.0
1961-11-21,11:55,"Mt Ruapehu, North Island, New Zealand",Bay of Plenty Airways,Wellington - Rotorua - Tauranga.,Aero Commander 680F,ZK-BWA,437-109,6.0,5.0,1.0,6.0,5.0,1.0,0.0,"The pilot flew too close to the summit of Mt Ruapehu and due either to turbulence or some pilot maneuver, the starboard propeller struck a rock outcrop on the mountain, bending the blade tips forward and causing vibration, which weakened the wing and led to its rapid structural failure of the aircraft.",sin dato,1961,11,structural failure,0.0
1961-11-30,19:25,"Sydney, NSW, Australia",Ansett ANA,Sydney - Canberra,Vickers Viscount 720,VH-TVC,046,15.0,11.0,4.0,15.0,11.0,4.0,0.0,"Crashed 9 minutes after taking off, into Botany Bay, 3 miles south of the airport . In-flight structural failure due to turbulence.",Australia,1961,11,collision,0.0
